캐릭터,표정상태,명령,대사
,/show,피핑;-1.5;1
,/show,누룩;-4;1
,/show,비숑;-6;1
,/show,툽;1.5;0
,/show,토리;4;0
,/show,아르르;6;0
,/stand,피핑;1
,/stand,누룩;1
,/stand,비숑;1
,/stand,툽;1
,/stand,토리;1
,/stand,아르르;1
툽,1,자 우리 이제 모두 끝난건가?
피핑,2,뭐가 말이에요?
아르르,3,튜토리얼 말이야
이정도만 해도 알려줄건 다 알려줬어~
아르르,1,뭐 더 자세한건 너네 스스로 알아가야 하는 부분이고
비숑,1,아
누룩,1,깜짝아 너 안죽었구나?
피핑,2,누룩아 왜이렇게 비숑이 죽는걸 원하는 거야
무슨 원한 이라도 있는거지
,/stand,피핑;1
누룩,1,무슨소리야 난 그냥 걱정을 해준것 뿐이라고
토리,3,자 이제 얘기는 그만하고
이제 본격적으로 전투를 시작하지
누룩,3,드디어 피가 튀기고 끊임없이 죽는 전투를 시작하는겁니까?!
비숑,1,(끊임없이 죽는다는건 뭔 말이야)
툽,2,그렇게 까진 아니야...
대신 볼륨이 좀 늘어났달까?
툽,1,그래..
바로 이곳의 전통이라고 할 수 있는 3대3 전투다!
피핑,2,어.. 전통 치고는 3대3 전투를 못봤는데요?
토리,3,튜토리얼이니깐 처음부터 3대3을 하면 무리지~
뭘 알고 싸워야 보는것도 하는것도 재밌지
아르르,3,말이 길어졌네
그럼 시작해볼까?
피핑,1,네!
